epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,5636.42,1.30153,0.80148,1.14635,0.60184,0.43175,0.42287,0.1936,1.98087,1.78455,1.55642,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627
63,5720.81,1.32176,0.80474,1.15181,0.55283,0.45553,0.43453,0.19962,1.97876,1.75627,1.5535,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227
64,5805.04,1.31408,0.80415,1.14696,0.56839,0.4426,0.42841,0.19569,1.97354,1.78607,1.54257,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828
65,5890.05,1.29927,0.79626,1.15203,0.59307,0.44004,0.42931,0.19298,1.97526,1.75656,1.54512,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428
66,5974.35,1.31647,0.79465,1.14401,0.58088,0.44012,0.41815,0.19135,1.97932,1.78847,1.55142,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
67,6058.57,1.29399,0.78192,1.13714,0.57251,0.46543,0.43109,0.1948,1.97419,1.74611,1.55009,0.00246189,0.000820629,0.00246189,0.000820629,0.00246189,0.000820629,0.00246189,0.000820629
68,6143.07,1.29341,0.77261,1.13121,0.58957,0.43379,0.43327,0.19874,1.98916,1.78111,1.55937,0.00244869,0.000816229,0.00244869,0.000816229,0.00244869,0.000816229,0.00244869,0.000816229
69,6227.81,1.30015,0.77942,1.13719,0.5859,0.43445,0.42775,0.19606,1.98533,1.80509,1.56163,0.00243549,0.00081183,0.00243549,0.00081183,0.00243549,0.00081183,0.00243549,0.00081183
70,6312.37,1.2821,0.7691,1.13649,0.58095,0.444,0.41886,0.18929,1.98996,1.78428,1.56039,0.00242229,0.00080743,0.00242229,0.00080743,0.00242229,0.00080743,0.00242229,0.00080743
71,6396.52,1.29886,0.78743,1.13823,0.60423,0.43579,0.41781,0.1877,1.98301,1.7684,1.55893,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
72,6481.4,1.28286,0.76806,1.12538,0.58362,0.43464,0.43702,0.19919,1.98782,1.79241,1.56527,0.00239589,0.000798631,0.00239589,0.000798631,0.00239589,0.000798631,0.00239589,0.000798631
73,6565.82,1.2686,0.75827,1.12578,0.62541,0.41547,0.41818,0.1898,1.99353,1.84432,1.56749,0.0023827,0.000794232,0.0023827,0.000794232,0.0023827,0.000794232,0.0023827,0.000794232
74,6650.13,1.2744,0.76076,1.1282,0.62939,0.43586,0.4436,0.20026,1.98689,1.75646,1.55612,0.0023695,0.000789832,0.0023695,0.000789832,0.0023695,0.000789832,0.0023695,0.000789832
75,6735.07,1.26099,0.74871,1.12104,0.59529,0.44793,0.43934,0.19982,1.9968,1.81294,1.56491,0.0023563,0.000785433,0.0023563,0.000785433,0.0023563,0.000785433,0.0023563,0.000785433
76,6819.27,1.26741,0.76184,1.13419,0.59061,0.43371,0.43534,0.20202,1.99476,1.82827,1.56217,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
77,6903.11,1.24086,0.74774,1.12305,0.57892,0.44476,0.4339,0.20163,1.98908,1.7843,1.562,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633
78,6987.98,1.26947,0.75269,1.11962,0.62729,0.4308,0.43851,0.20063,1.99171,1.77262,1.56361,0.0023167,0.000772234,0.0023167,0.000772234,0.0023167,0.000772234,0.0023167,0.000772234
79,7072.47,1.26024,0.74237,1.11603,0.602,0.43576,0.44511,0.20624,1.97222,1.79883,1.55357,0.0023035,0.000767834,0.0023035,0.000767834,0.0023035,0.000767834,0.0023035,0.000767834
80,7156.49,1.24321,0.73289,1.12265,0.58522,0.44084,0.43968,0.20105,1.99344,1.78663,1.56905,0.0022903,0.000763435,0.0022903,0.000763435,0.0022903,0.000763435,0.0022903,0.000763435
81,7240.09,1.22395,0.72877,1.11584,0.63275,0.41703,0.42821,0.1981,1.99792,1.76416,1.57285,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
82,7325.01,1.25862,0.73726,1.10967,0.6118,0.42299,0.43521,0.1977,2.00584,1.77592,1.57532,0.00226391,0.000754636,0.00226391,0.000754636,0.00226391,0.000754636,0.00226391,0.000754636
83,7409.51,1.24644,0.72567,1.1048,0.59679,0.45389,0.45024,0.20387,1.98875,1.74983,1.56423,0.00225071,0.000750236,0.00225071,0.000750236,0.00225071,0.000750236,0.00225071,0.000750236
84,7494.03,1.24294,0.73303,1.11082,0.57978,0.4372,0.43088,0.19919,1.98826,1.80217,1.57016,0.00223751,0.000745837,0.00223751,0.000745837,0.00223751,0.000745837,0.00223751,0.000745837
85,7578.86,1.23379,0.72497,1.10826,0.59774,0.43058,0.42695,0.19449,1.99211,1.80572,1.57226,0.00222431,0.000741437,0.00222431,0.000741437,0.00222431,0.000741437,0.00222431,0.000741437
86,7663.11,1.21872,0.71743,1.10836,0.59652,0.43745,0.42317,0.19366,2.00221,1.81429,1.58107,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
87,7746.83,1.21506,0.72131,1.10971,0.5997,0.44342,0.43262,0.19723,1.98728,1.78646,1.56913,0.00219791,0.000732638,0.00219791,0.000732638,0.00219791,0.000732638,0.00219791,0.000732638
88,7959.84,1.22166,0.71586,1.10797,0.59456,0.44643,0.43856,0.19688,1.99346,1.78122,1.57171,0.00218471,0.000728238,0.00218471,0.000728238,0.00218471,0.000728238,0.00218471,0.000728238
89,8045.43,1.22224,0.71163,1.10335,0.5906,0.45315,0.43809,0.20027,1.99562,1.78973,1.57138,0.00217152,0.000723839,0.00217152,0.000723839,0.00217152,0.000723839,0.00217152,0.000723839
90,8132.25,1.22098,0.70769,1.09341,0.60775,0.42241,0.43001,0.19645,2.00963,1.8272,1.59706,0.00215832,0.000719439,0.00215832,0.000719439,0.00215832,0.000719439,0.00215832,0.000719439
91,8217.35,1.21406,0.70656,1.10046,0.6182,0.43967,0.44574,0.20409,2.00747,1.78846,1.58715,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
92,8301.88,1.21092,0.70872,1.09736,0.58616,0.45284,0.43807,0.19995,2.0009,1.82979,1.57675,0.00213192,0.00071064,0.00213192,0.00071064,0.00213192,0.00071064,0.00213192,0.00071064
93,8386.3,1.20003,0.69729,1.09527,0.59804,0.44944,0.43235,0.1969,2.00395,1.78673,1.58387,0.00211872,0.00070624,0.00211872,0.00070624,0.00211872,0.00070624,0.00211872,0.00070624
94,8471.48,1.22767,0.7049,1.09654,0.57229,0.4475,0.42975,0.19588,2.00122,1.78505,1.57987,0.00210552,0.000701841,0.00210552,0.000701841,0.00210552,0.000701841,0.00210552,0.000701841
95,8555.71,1.19384,0.68911,1.08937,0.58734,0.43907,0.42788,0.19474,2.00696,1.81576,1.59005,0.00209232,0.000697441,0.00209232,0.000697441,0.00209232,0.000697441,0.00209232,0.000697441
96,8663.8,1.20834,0.70171,1.09818,0.57541,0.45016,0.43431,0.19782,2.0019,1.80527,1.57966,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
97,8748.55,1.19,0.6913,1.09173,0.60558,0.43327,0.44299,0.20434,1.99309,1.7946,1.57324,0.00206593,0.000688642,0.00206593,0.000688642,0.00206593,0.000688642,0.00206593,0.000688642
98,8833.51,1.22543,0.71047,1.09622,0.60372,0.45378,0.44321,0.20364,2.00316,1.81047,1.5823,0.00205273,0.000684243,0.00205273,0.000684243,0.00205273,0.000684243,0.00205273,0.000684243
99,8917.85,1.1834,0.69334,1.09279,0.59281,0.44468,0.44041,0.19966,2.01647,1.79441,1.59312,0.00203953,0.000679843,0.00203953,0.000679843,0.00203953,0.000679843,0.00203953,0.000679843
100,9002.09,1.17484,0.68498,1.08946,0.58647,0.45176,0.45039,0.2026,2.01423,1.77626,1.59619,0.00202633,0.000675444,0.00202633,0.000675444,0.00202633,0.000675444,0.00202633,0.000675444
101,9088.21,1.19552,0.68997,1.0859,0.60787,0.44192,0.43611,0.19904,2.00875,1.81006,1.59301,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
102,9172.6,1.18264,0.68311,1.0911,0.58696,0.45506,0.44093,0.20145,2.00825,1.83248,1.59323,0.00199993,0.000666644,0.00199993,0.000666644,0.00199993,0.000666644,0.00199993,0.000666644
103,9257.86,1.18253,0.68031,1.08284,0.58737,0.45947,0.43527,0.19953,2.00645,1.80254,1.59447,0.00198673,0.000662245,0.00198673,0.000662245,0.00198673,0.000662245,0.00198673,0.000662245
