epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,11891.4,1.69056,1.07144,0.00887,0.59891,0.43146,0.43746,0.19712,2.10729,2.08684,0.01245,0.000882223,0.000882223,0.000882223
54,12056.1,1.70632,1.05874,0.00837,0.52903,0.4305,0.42002,0.1902,2.11072,2.14445,0.01249,0.000877823,0.000877823,0.000877823
55,12157.7,1.68955,1.07223,0.00877,0.56706,0.44533,0.43971,0.19978,2.09652,2.06666,0.01251,0.000873424,0.000873424,0.000873424
56,12717,1.66441,1.06011,0.00856,0.56973,0.42354,0.42835,0.19409,2.14477,2.1498,0.01277,0.000869024,0.000869024,0.000869024
57,12821,1.64343,1.01214,0.00858,0.56374,0.42564,0.41828,0.18559,2.12316,2.17641,0.01262,0.000864625,0.000864625,0.000864625
58,13573.5,1.65901,0.98211,0.00816,0.54739,0.41915,0.41908,0.19025,2.10121,2.10243,0.01237,0.000860225,0.000860225,0.000860225
59,13676,1.64657,0.99386,0.00831,0.55809,0.41734,0.41821,0.18871,2.08844,2.17132,0.01232,0.000855826,0.000855826,0.000855826
60,14011.7,1.66295,1.00267,0.00819,0.58838,0.4392,0.44714,0.20182,2.08025,2.06976,0.01218,0.000851426,0.000851426,0.000851426
61,14116.3,1.6458,0.96106,0.00806,0.55722,0.42783,0.42487,0.1954,2.09225,2.18641,0.01231,0.000847026,0.000847026,0.000847026
62,14426.1,1.62989,0.96657,0.00818,0.57088,0.44272,0.41865,0.1855,2.09003,2.24179,0.01235,0.000842627,0.000842627,0.000842627
63,14552.4,1.63695,0.96414,0.00814,0.56599,0.44845,0.43552,0.20155,2.09175,2.16249,0.01225,0.000838227,0.000838227,0.000838227
64,14649.3,1.63312,0.97248,0.00808,0.57915,0.42789,0.43163,0.19843,2.07562,2.15952,0.01207,0.000833828,0.000833828,0.000833828
65,14744.5,1.63394,0.96884,0.00817,0.58227,0.43687,0.43232,0.19677,2.10733,2.15195,0.01231,0.000829428,0.000829428,0.000829428
66,14840.9,1.58971,0.94964,0.0083,0.55873,0.43883,0.42778,0.1933,2.10612,2.21979,0.01257,0.000825029,0.000825029,0.000825029
67,15139.6,1.6424,0.9474,0.00798,0.5482,0.41685,0.39992,0.17916,2.11502,2.313,0.01242,0.000820629,0.000820629,0.000820629
68,15250.2,1.58141,0.90036,0.00778,0.57923,0.43543,0.4402,0.19597,2.10869,2.13479,0.01246,0.000816229,0.000816229,0.000816229
69,15735.5,1.58207,0.90374,0.00799,0.55854,0.43247,0.43994,0.1967,2.10798,2.20756,0.01232,0.00081183,0.00081183,0.00081183
70,15837.8,1.5831,0.91957,0.00801,0.55765,0.42438,0.41626,0.18773,2.09083,2.1771,0.01227,0.00080743,0.00080743,0.00080743
71,16035.1,1.59143,0.90252,0.00763,0.57696,0.46226,0.46269,0.21374,2.07816,2.17743,0.01224,0.000803031,0.000803031,0.000803031
72,16134.5,1.57996,0.88365,0.00773,0.57425,0.4444,0.44064,0.1973,2.1095,2.20931,0.01263,0.000798631,0.000798631,0.000798631
73,16346.5,1.56853,0.87387,0.00767,0.59609,0.43903,0.45315,0.21071,2.12982,2.20789,0.01288,0.000794232,0.000794232,0.000794232
74,16445.7,1.54947,0.87378,0.00791,0.57696,0.4257,0.43642,0.19605,2.11689,2.13148,0.01254,0.000789832,0.000789832,0.000789832
75,16889.7,1.59446,0.89818,0.00758,0.58615,0.42021,0.41669,0.18854,2.13488,2.25517,0.01269,0.000785433,0.000785433,0.000785433
76,16987.9,1.55513,0.86096,0.00757,0.52084,0.45506,0.41833,0.19023,2.11183,2.15874,0.01242,0.000781033,0.000781033,0.000781033
77,17357.1,1.54805,0.85718,0.00761,0.62313,0.42294,0.45583,0.21022,2.09429,2.18281,0.01244,0.000776633,0.000776633,0.000776633
78,101.697,1.60172,0.87943,0.00789,0.57598,0.43201,0.42766,0.19342,2.13037,2.20732,0.01267,0.000772234,0.000772234,0.000772234
