epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,10704.8,1.10976,0.58767,1.06472,0.58939,0.46732,0.44905,0.21043,1.97408,1.87366,1.64758,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424
56,11099.8,1.09035,0.57592,1.06356,0.6037,0.46016,0.45722,0.21754,1.96108,1.85921,1.62689,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
57,11708.9,1.08052,0.57619,1.05931,0.61324,0.45393,0.45598,0.21693,1.97825,1.87827,1.63726,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625
58,12296.4,1.06591,0.57015,1.06396,0.57917,0.47589,0.45576,0.2182,1.97117,1.88953,1.6331,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225
59,12806.4,1.06169,0.5651,1.05398,0.6173,0.45772,0.45,0.21355,1.96275,1.83015,1.62618,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826
60,13164.3,1.06452,0.56521,1.05794,0.58794,0.46844,0.4497,0.2124,1.98,1.85592,1.64991,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426
61,14018.1,1.07179,0.56969,1.05403,0.58729,0.46943,0.44802,0.21069,1.9933,1.88053,1.65723,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
62,14538.1,1.06424,0.56324,1.05613,0.61466,0.47205,0.45585,0.21597,1.9881,1.85358,1.66116,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627
63,15130.8,1.04191,0.55081,1.04976,0.6052,0.46156,0.45937,0.22028,1.98434,1.87724,1.67004,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227
64,15649,1.04778,0.55177,1.04542,0.6275,0.45506,0.46124,0.22248,1.9776,1.87876,1.64919,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828
65,16294.4,1.06109,0.5588,1.04317,0.61572,0.4559,0.46216,0.21929,1.97609,1.86718,1.64958,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428
66,16690.5,1.0506,0.55034,1.03984,0.6372,0.44845,0.45789,0.21824,1.98189,1.86935,1.65172,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
67,17140.1,1.02013,0.53607,1.03468,0.60823,0.45771,0.46052,0.21933,1.98318,1.85077,1.66072,0.00246189,0.000820629,0.00246189,0.000820629,0.00246189,0.000820629,0.00246189,0.000820629
