epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,3140.61,1.64503,1.41326,1.33103,0.47267,0.3684,0.33575,0.14974,1.95708,1.9513,1.50832,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823,0.00263347,0.000877823
55,3195.25,1.61963,1.43587,1.33724,0.48615,0.36255,0.33948,0.14941,1.97843,1.94755,1.51828,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424,0.00262027,0.000873424
56,3250.26,1.62428,1.4149,1.33317,0.43812,0.37333,0.31861,0.14232,1.97629,1.97609,1.51684,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
57,3306.66,1.62416,1.37751,1.31932,0.4802,0.35948,0.32099,0.14155,1.9771,1.98891,1.5277,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625,0.00259387,0.000864625
58,3361.82,1.62941,1.38397,1.32264,0.46091,0.36143,0.32878,0.14299,1.96871,1.93344,1.51417,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225,0.00258068,0.000860225
59,3417.35,1.61017,1.39529,1.32276,0.48014,0.36534,0.34223,0.15151,1.97095,1.93067,1.5244,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826,0.00256748,0.000855826
60,3472.59,1.6095,1.39003,1.31904,0.49337,0.36014,0.34027,0.15296,1.97986,1.91543,1.52678,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426,0.00255428,0.000851426
61,3528.04,1.61036,1.35606,1.30643,0.49611,0.34861,0.34258,0.1536,1.96327,1.93896,1.51658,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
62,3583.34,1.58758,1.36162,1.30507,0.48081,0.35609,0.33524,0.15099,1.96706,1.95116,1.52294,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627,0.00252788,0.000842627
63,3638.88,1.61157,1.35968,1.31286,0.49109,0.38,0.36658,0.16563,1.9557,1.91377,1.49941,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227,0.00251468,0.000838227
64,3694.3,1.60744,1.36221,1.31149,0.4953,0.37838,0.35972,0.16197,1.95775,1.91943,1.51821,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828,0.00250148,0.000833828
65,3846.92,1.59799,1.36176,1.32393,0.50933,0.36471,0.35639,0.1626,1.96659,1.93267,1.51475,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428,0.00248828,0.000829428
66,3902,1.61086,1.34036,1.30721,0.47266,0.36623,0.33239,0.15195,1.96563,1.95833,1.52576,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
67,3957.14,1.5869,1.32454,1.29854,0.48094,0.38288,0.35372,0.16238,1.97246,1.91812,1.51608,0.00246189,0.000820629,0.00246189,0.000820629,0.00246189,0.000820629,0.00246189,0.000820629
68,4012.56,1.602,1.3131,1.30253,0.46957,0.38435,0.36043,0.16014,1.97926,1.91386,1.52297,0.00244869,0.000816229,0.00244869,0.000816229,0.00244869,0.000816229,0.00244869,0.000816229
69,4067.73,1.60422,1.32421,1.30666,0.51912,0.37399,0.36607,0.1643,1.96318,1.9562,1.52348,0.00243549,0.00081183,0.00243549,0.00081183,0.00243549,0.00081183,0.00243549,0.00081183
70,4122.87,1.58064,1.30124,1.30227,0.46867,0.38391,0.3448,0.15357,1.97314,1.91731,1.52006,0.00242229,0.00080743,0.00242229,0.00080743,0.00242229,0.00080743,0.00242229,0.00080743
71,4178.1,1.60519,1.32983,1.30623,0.49487,0.37507,0.35026,0.15516,1.98105,1.96688,1.52113,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
72,4233.78,1.59405,1.31607,1.29301,0.4468,0.38565,0.34745,0.15788,1.96804,1.92839,1.52021,0.00239589,0.000798631,0.00239589,0.000798631,0.00239589,0.000798631,0.00239589,0.000798631
73,4289.11,1.5618,1.29148,1.28903,0.47895,0.36168,0.33929,0.15197,1.98006,1.96309,1.52288,0.0023827,0.000794232,0.0023827,0.000794232,0.0023827,0.000794232,0.0023827,0.000794232
74,4344.28,1.5789,1.29804,1.29409,0.48232,0.37644,0.35266,0.15467,1.96575,1.94943,1.51847,0.0023695,0.000789832,0.0023695,0.000789832,0.0023695,0.000789832,0.0023695,0.000789832
75,4399.36,1.56599,1.27958,1.28669,0.49292,0.36211,0.3431,0.15366,1.97012,1.96695,1.51716,0.0023563,0.000785433,0.0023563,0.000785433,0.0023563,0.000785433,0.0023563,0.000785433
76,4454.27,1.58011,1.31847,1.30765,0.49305,0.37604,0.35458,0.1586,1.96677,1.92855,1.52395,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
77,4509.14,1.54763,1.29211,1.29231,0.45817,0.37144,0.33497,0.14696,1.97041,1.93812,1.5213,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633
78,4564.68,1.58114,1.28962,1.28495,0.48881,0.37905,0.35564,0.15813,1.97624,1.91424,1.52888,0.0023167,0.000772234,0.0023167,0.000772234,0.0023167,0.000772234,0.0023167,0.000772234
79,4619.9,1.56577,1.26751,1.28335,0.4868,0.3835,0.36137,0.15775,1.96754,1.92389,1.5086,0.0023035,0.000767834,0.0023035,0.000767834,0.0023035,0.000767834,0.0023035,0.000767834
80,4674.5,1.55588,1.26188,1.29591,0.52111,0.36518,0.36697,0.16205,1.97636,1.90201,1.51972,0.0022903,0.000763435,0.0022903,0.000763435,0.0022903,0.000763435,0.0022903,0.000763435
81,4729.32,1.53527,1.25204,1.28275,0.52847,0.35571,0.35181,0.1554,1.9726,1.90425,1.5238,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
82,4784.76,1.57236,1.26314,1.27547,0.49063,0.37383,0.34607,0.15488,1.96837,1.90741,1.5161,0.00226391,0.000754636,0.00226391,0.000754636,0.00226391,0.000754636,0.00226391,0.000754636
83,4840.12,1.562,1.2406,1.26838,0.49362,0.38276,0.35755,0.16046,1.96986,1.89089,1.5182,0.00225071,0.000750236,0.00225071,0.000750236,0.00225071,0.000750236,0.00225071,0.000750236
84,4895.15,1.55929,1.24341,1.28073,0.50062,0.37438,0.35739,0.15932,1.97026,1.90348,1.51713,0.00223751,0.000745837,0.00223751,0.000745837,0.00223751,0.000745837,0.00223751,0.000745837
85,4951.57,1.56018,1.24585,1.28375,0.48078,0.38911,0.3667,0.16427,1.9679,1.88281,1.51905,0.00222431,0.000741437,0.00222431,0.000741437,0.00222431,0.000741437,0.00222431,0.000741437
86,5036.46,1.53566,1.24167,1.27441,0.51046,0.36276,0.33964,0.14765,1.97406,1.92233,1.52152,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
87,5090.87,1.5378,1.24842,1.28408,0.50985,0.36254,0.35779,0.16025,1.96634,1.89215,1.52036,0.00219791,0.000732638,0.00219791,0.000732638,0.00219791,0.000732638,0.00219791,0.000732638
