epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,13670.2,1.28477,0.7763,1.2486,0.56727,0.44615,0.41861,0.18852,2.01386,1.84878,1.83037,0.00080743,0.00080743,0.00080743
71,14015.5,1.27313,0.77529,1.24431,0.56005,0.44564,0.41375,0.19021,2.01303,1.83751,1.8513,0.000803031,0.000803031,0.000803031
72,14352.2,1.26349,0.77126,1.23646,0.57222,0.46173,0.42207,0.19259,1.99465,1.77006,1.81643,0.000798631,0.000798631,0.000798631
73,14948.5,1.24718,0.74219,1.21985,0.57838,0.43776,0.42152,0.19369,2.00407,1.80157,1.82956,0.000794232,0.000794232,0.000794232
74,15320.3,1.25198,0.7455,1.22191,0.58707,0.44656,0.43264,0.20034,1.98588,1.79125,1.82246,0.000789832,0.000789832,0.000789832
75,15657.6,1.24258,0.73571,1.22864,0.57554,0.43079,0.41485,0.18877,2.00608,1.80717,1.82653,0.000785433,0.000785433,0.000785433
76,16173.2,1.23256,0.73429,1.21735,0.59098,0.43411,0.41031,0.18721,2.00486,1.84048,1.82752,0.000781033,0.000781033,0.000781033
77,16748.5,1.21929,0.7212,1.21557,0.56706,0.44181,0.43085,0.20226,1.97445,1.83274,1.80743,0.000776633,0.000776633,0.000776633
78,17289.6,1.20847,0.70729,1.20934,0.57787,0.44639,0.42275,0.19512,2.01817,1.85242,1.87555,0.000772234,0.000772234,0.000772234
79,17936.4,1.21686,0.71593,1.20582,0.57509,0.41744,0.40827,0.18672,2.05384,1.9188,1.87189,0.000767834,0.000767834,0.000767834
80,18580.1,1.20211,0.71215,1.20103,0.58928,0.44623,0.4321,0.19851,1.98854,1.79725,1.841,0.000763435,0.000763435,0.000763435
81,19024.3,1.17608,0.6879,1.19341,0.60295,0.43926,0.42651,0.19998,1.9873,1.83018,1.84022,0.000759035,0.000759035,0.000759035
82,19568.2,1.19327,0.69427,1.19313,0.57803,0.4499,0.42143,0.19402,1.99489,1.84707,1.8326,0.000754636,0.000754636,0.000754636
83,19994.3,1.17916,0.68082,1.19643,0.58627,0.44877,0.43106,0.20021,2.00308,1.84317,1.84109,0.000750236,0.000750236,0.000750236
84,20516.4,1.19734,0.69092,1.18807,0.57698,0.4267,0.41537,0.19363,2.00228,1.83064,1.84161,0.000745837,0.000745837,0.000745837
85,21053.2,1.184,0.67806,1.18222,0.56102,0.4498,0.41637,0.18989,1.99688,1.86288,1.82347,0.000741437,0.000741437,0.000741437
86,21537.5,1.15643,0.67282,1.18314,0.62427,0.41594,0.42319,0.19656,2.00616,1.81604,1.85213,0.000737037,0.000737037,0.000737037
87,21875.5,1.17995,0.67764,1.18428,0.59877,0.44726,0.42703,0.19476,1.98841,1.79961,1.82885,0.000732638,0.000732638,0.000732638
88,22284.7,1.16029,0.66681,1.17101,0.58567,0.44855,0.43331,0.20611,1.99625,1.8201,1.85187,0.000728238,0.000728238,0.000728238
89,22677.1,1.15439,0.661,1.16803,0.58267,0.45612,0.4375,0.20192,2.02263,1.8718,1.87988,0.000723839,0.000723839,0.000723839
90,23028.2,1.15623,0.6588,1.16134,0.59959,0.43514,0.43364,0.20089,2.00541,1.94101,1.86377,0.000719439,0.000719439,0.000719439
91,24517.9,1.1781,0.66827,1.17075,0.59259,0.44521,0.43199,0.19806,2.00392,1.81684,1.86897,0.00071504,0.00071504,0.00071504
92,24852.9,1.1717,0.675,1.17443,0.57211,0.45114,0.42602,0.19406,2.01094,1.80753,1.86049,0.00071064,0.00071064,0.00071064
93,25218,1.17199,0.67712,1.17133,0.56784,0.45718,0.43398,0.20259,2.0164,1.81601,1.86174,0.00070624,0.00070624,0.00070624
94,25619.4,1.15888,0.66572,1.15683,0.60198,0.43576,0.42156,0.19449,2.00759,1.89627,1.86554,0.000701841,0.000701841,0.000701841
95,26263,1.15169,0.64991,1.15625,0.56188,0.44298,0.42151,0.19858,2.00586,1.88412,1.8699,0.000697441,0.000697441,0.000697441
96,26711.7,1.14404,0.66861,1.17935,0.58008,0.4369,0.42077,0.19498,2.02352,1.87503,1.88904,0.000693042,0.000693042,0.000693042
97,27412.7,1.14605,0.6429,1.15669,0.59864,0.44307,0.43992,0.20409,2.02033,1.79508,1.858,0.000688642,0.000688642,0.000688642
98,27768.7,1.1373,0.65396,1.16616,0.60447,0.44772,0.43878,0.2046,2.00994,1.75754,1.85332,0.000684243,0.000684243,0.000684243
99,28620.7,1.14495,0.63547,1.15389,0.56957,0.4513,0.44068,0.20045,2.01815,1.79949,1.86142,0.000679843,0.000679843,0.000679843
